wall_time,entity_name,tx,ty,tz,qx,qy,qz,qw
1777116264.880,ground_plane,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,mesa_pro,-0.170000,0.000000,0.075000,0.000000,0.000000,0.000000,1.000000
1777116264.880,pick_demo,-0.414366,-0.000011,0.875000,0.000002,-0.000003,-0.011234,0.999937
1777116264.880,drop_anchor,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,mesa_robot,-1.100000,0.000000,0.025000,0.000000,0.000000,0.000000,1.000000
1777116264.880,bandeja_deposito,-1.300000,0.000000,0.780000,0.000000,0.000000,0.000000,1.000000
1777116264.880,ur5_rg2,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000
1777116264.880,camera_overhead,-0.850000,0.000000,1.850000,0.000000,0.488177,0.000000,0.872745
1777116264.880,camera_debug_top,-0.600000,0.000000,2.550000,0.000000,0.707108,0.000000,0.707105
1777116264.880,camera_north,-0.950000,0.750000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,camera_east,0.450000,0.750000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,camera_south,-2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,camera_west,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,box_red,-0.260985,0.100415,0.879999,0.000000,-0.000000,0.009844,0.999952
1777116264.880,box_blue,-0.180896,0.109499,0.864999,0.000000,0.000000,0.015393,0.999882
1777116264.880,box_green,-0.100000,0.100000,0.910000,0.000000,-0.000000,0.000000,1.000000
1777116264.880,cyl_gray,-0.049067,0.327558,0.869995,-0.478470,0.520616,-0.141222,0.692879
1777116264.880,cyl_orange,-0.192870,-0.061271,0.879993,-0.410995,0.575448,-0.560944,0.430447
1777116264.880,cyl_purple,0.063271,-0.066107,0.859999,-0.426183,0.904637,0.000047,-0.000005
1777116264.880,box_lightblue,-0.103141,0.027338,0.880000,-0.000000,0.000000,0.986311,-0.164894
1777116264.880,cyl_green,2.247003,-0.026015,0.018670,0.686704,0.167230,-0.195889,0.679779
1777116264.880,box_yellow,-0.221427,-0.099843,0.865000,0.700111,-0.099221,-0.099221,0.700110
1777116264.880,cross_cyan,-0.088600,-0.064936,0.865000,-0.000000,0.000000,0.061877,0.998084
1777116264.880,link,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,link,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,link,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,link,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,link,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,link,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,base_link,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116264.880,shoulder_link,0.000000,0.000000,0.089159,0.000000,0.000000,-0.324618,0.945845
1777116264.880,upper_arm_link,0.083422,0.107219,0.089159,-0.255356,-0.744037,-0.200424,0.583980
1777116264.880,forearm_link,-0.315907,0.266255,-0.011819,0.057102,0.166381,-0.319556,0.931097
1777116264.880,wrist_1_link,-0.208690,0.182835,0.356156,0.064695,0.188504,-0.318105,0.926871
1777116264.880,wrist_2_link,-0.151582,0.256235,0.356155,0.140754,0.141093,0.120208,0.972538
1777116264.880,wrist_3_link,-0.122403,0.233533,0.443286,0.014261,0.788307,0.184549,0.586779
1777116264.880,rg2_hand,-0.057276,0.252729,0.426258,0.140580,0.142502,0.120412,0.972333
1777116264.880,rg2_leftfinger,0.037116,0.297357,0.405947,0.191690,0.057660,0.571833,0.795574
1777116264.880,rg2_rightfinger,0.043715,0.265687,0.395485,0.055051,0.192456,-0.360490,0.911031
1777116264.880,tool0,-0.122403,0.233533,0.443286,0.014261,0.788307,0.184549,0.586779
