wall_time,entity_name,tx,ty,tz,qx,qy,qz,qw
1777116092.914,ground_plane,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116092.914,mesa_pro,-0.170000,0.000000,0.075000,0.000000,0.000000,0.000000,1.000000
1777116092.914,pick_demo,-0.414366,-0.000011,0.875000,0.000003,-0.000003,-0.011234,0.999937
1777116092.914,drop_anchor,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116092.914,mesa_robot,-1.100000,0.000000,0.025000,0.000000,0.000000,0.000000,1.000000
1777116092.914,bandeja_deposito,-1.300000,0.000000,0.780000,0.000000,0.000000,0.000000,1.000000
1777116092.914,ur5_rg2,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000
1777116092.914,camera_overhead,-0.850000,0.000000,1.850000,0.000000,0.488177,0.000000,0.872745
1777116092.914,camera_debug_top,-0.600000,0.000000,2.550000,0.000000,0.707108,0.000000,0.707105
1777116092.914,camera_north,-0.950000,0.750000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116092.914,camera_east,0.450000,0.750000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116092.914,camera_south,-2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116092.914,camera_west,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1777116092.914,box_red,-0.260985,0.100415,0.879999,0.000000,-0.000000,0.009844,0.999952
1777116092.914,box_blue,-0.180896,0.109499,0.864999,0.000000,0.000000,0.015393,0.999882
1777116092.914,box_green,-0.100000,0.100000,0.910000,0.000000,-0.000000,0.000000,1.000000
1777116092.914,cyl_gray,-0.049064,0.327555,0.869998,-0.478506,0.520606,-0.141216,0.692863
1777116092.914,cyl_orange,-0.189348,-0.062206,0.879992,-0.401176,0.582570,-0.550108,0.443904
1777116092.914,cyl_purple,0.063271,-0.066107,0.859998,-0.426183,0.904637,0.000043,-0.000008
1777116092.914,box_lightblue,-0.100256,0.022588,0.880000,0.000001,-0.000002,0.979454,-0.201667
1777116092.914,cyl_green,1.855419,0.004594,0.017541,0.707298,-0.038636,0.067908,0.702585
1777116092.914,box_yellow,-0.221416,-0.099715,0.865000,0.700171,-0.098801,-0.098801,0.700170
1777116092.914,cross_cyan,-0.074533,-0.065245,0.892443,0.200193,0.219578,0.044071,0.953817
1777116092.914,link,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
